,Ano,Mês,Município,Produto,Unidade de Medida,Preço médio
214,2018,12,BARRA DO CORDA,GASOLINA COMUM,R$/l,4.423
215,2018,12,BARRA DO CORDA,GLP,R$/13Kg,78.0
216,2018,12,BARRA DO CORDA,ÓLEO DIESEL,R$/l,3.437
217,2018,12,BARRA DO CORDA,ÓLEO DIESEL S10,R$/l,3.506
218,2018,12,BARRA DO PIRAI,ETANOL HIDRATADO,R$/l,3.576
219,2018,12,BARRA DO PIRAI,GASOLINA COMUM,R$/l,4.911
220,2018,12,BARRA DO PIRAI,GLP,R$/13Kg,73.0
221,2018,12,BARRA DO PIRAI,GNV,R$/m3,3.599
222,2018,12,BARRA DO PIRAI,ÓLEO DIESEL,R$/l,3.629
223,2018,12,BARRA DO PIRAI,ÓLEO DIESEL S10,R$/l,3.721
224,2018,12,BARRA MANSA,ETANOL HIDRATADO,R$/l,3.572
225,2018,12,BARRA MANSA,GASOLINA COMUM,R$/l,4.963
226,2018,12,BARRA MANSA,GLP,R$/13Kg,72.0
227,2018,12,BARRA MANSA,GNV,R$/m3,3.579
228,2018,12,BARRA MANSA,ÓLEO DIESEL,R$/l,3.669
229,2018,12,BARRA MANSA,ÓLEO DIESEL S10,R$/l,3.783
230,2018,12,BARREIRAS,ETANOL HIDRATADO,R$/l,3.408
231,2018,12,BARREIRAS,GASOLINA COMUM,R$/l,4.602
232,2018,12,BARREIRAS,GLP,R$/13Kg,70.0
233,2018,12,BARREIRAS,ÓLEO DIESEL,R$/l,3.67
234,2018,12,BARREIRAS,ÓLEO DIESEL S10,R$/l,3.72
235,2018,12,BARRETOS,ETANOL HIDRATADO,R$/l,2.598
236,2018,12,BARRETOS,GASOLINA COMUM,R$/l,4.164
237,2018,12,BARRETOS,GLP,R$/13Kg,66.333
238,2018,12,BARRETOS,ÓLEO DIESEL,R$/l,3.353
239,2018,12,BARRETOS,ÓLEO DIESEL S10,R$/l,3.402
240,2018,12,BARUERI,ETANOL HIDRATADO,R$/l,2.705
241,2018,12,BARUERI,GASOLINA COMUM,R$/l,4.394
242,2018,12,BARUERI,GLP,R$/13Kg,68.25
243,2018,12,BARUERI,ÓLEO DIESEL,R$/l,3.454
244,2018,12,BARUERI,ÓLEO DIESEL S10,R$/l,3.701
245,2018,12,BAURU,ETANOL HIDRATADO,R$/l,2.496
246,2018,12,BAURU,GASOLINA COMUM,R$/l,4.004
247,2018,12,BAURU,GLP,R$/13Kg,66.538
248,2018,12,BAURU,GNV,R$/m3,3.359
249,2018,12,BAURU,ÓLEO DIESEL,R$/l,3.271
250,2018,12,BAURU,ÓLEO DIESEL S10,R$/l,3.418
251,2018,12,BAYEUX,ETANOL HIDRATADO,R$/l,2.998
252,2018,12,BAYEUX,GASOLINA COMUM,R$/l,4.144
253,2018,12,BAYEUX,GLP,R$/13Kg,70.0
254,2018,12,BAYEUX,GNV,R$/m3,3.727
255,2018,12,BAYEUX,ÓLEO DIESEL,R$/l,3.58
256,2018,12,BAYEUX,ÓLEO DIESEL S10,R$/l,3.613
257,2018,12,BEBEDOURO,ETANOL HIDRATADO,R$/l,2.581
258,2018,12,BEBEDOURO,GASOLINA COMUM,R$/l,4.402
259,2018,12,BEBEDOURO,GLP,R$/13Kg,68.667
260,2018,12,BEBEDOURO,ÓLEO DIESEL,R$/l,3.241
261,2018,12,BEBEDOURO,ÓLEO DIESEL S10,R$/l,3.352
262,2018,12,BELEM,ETANOL HIDRATADO,R$/l,3.611
263,2018,12,BELEM,GASOLINA COMUM,R$/l,4.368
264,2018,12,BELEM,GLP,R$/13Kg,68.75
265,2018,12,BELEM,ÓLEO DIESEL S10,R$/l,3.806
266,2018,12,BELFORD ROXO,ETANOL HIDRATADO,R$/l,3.389
267,2018,12,BELFORD ROXO,GASOLINA COMUM,R$/l,4.765
268,2018,12,BELFORD ROXO,GLP,R$/13Kg,65.667
269,2018,12,BELFORD ROXO,GNV,R$/m3,2.997
270,2018,12,BELFORD ROXO,ÓLEO DIESEL,R$/l,3.479
271,2018,12,BELFORD ROXO,ÓLEO DIESEL S10,R$/l,3.581
272,2018,12,BELO HORIZONTE,ETANOL HIDRATADO,R$/l,2.933
273,2018,12,BELO HORIZONTE,GASOLINA COMUM,R$/l,4.528
274,2018,12,BELO HORIZONTE,GLP,R$/13Kg,65.083
275,2018,12,BELO HORIZONTE,ÓLEO DIESEL,R$/l,3.487
276,2018,12,BELO HORIZONTE,ÓLEO DIESEL S10,R$/l,3.667
277,2018,12,BELO JARDIM,ETANOL HIDRATADO,R$/l,3.261
278,2018,12,BELO JARDIM,GASOLINA COMUM,R$/l,4.26
279,2018,12,BELO JARDIM,GLP,R$/13Kg,65.0
280,2018,12,BELO JARDIM,GNV,R$/m3,3.6
281,2018,12,BELO JARDIM,ÓLEO DIESEL S10,R$/l,3.448
282,2018,12,BENTO GONCALVES,ETANOL HIDRATADO,R$/l,3.982
283,2018,12,BENTO GONCALVES,GASOLINA COMUM,R$/l,4.596
284,2018,12,BENTO GONCALVES,GLP,R$/13Kg,70.333
285,2018,12,BENTO GONCALVES,ÓLEO DIESEL,R$/l,3.399
286,2018,12,BENTO GONCALVES,ÓLEO DIESEL S10,R$/l,3.573
287,2018,12,BETIM,ETANOL HIDRATADO,R$/l,2.938
288,2018,12,BETIM,GASOLINA COMUM,R$/l,4.504
289,2018,12,BETIM,GLP,R$/13Kg,70.455
290,2018,12,BETIM,ÓLEO DIESEL,R$/l,3.356
291,2018,12,BETIM,ÓLEO DIESEL S10,R$/l,3.505
292,2018,12,BIGUACU,ETANOL HIDRATADO,R$/l,3.279
293,2018,12,BIGUACU,GASOLINA COMUM,R$/l,3.968
294,2018,12,BIGUACU,GLP,R$/13Kg,64.95
295,2018,12,BIGUACU,GNV,R$/m3,3.094
296,2018,12,BIGUACU,ÓLEO DIESEL,R$/l,3.349
297,2018,12,BIGUACU,ÓLEO DIESEL S10,R$/l,3.517
298,2018,12,BIRIGUI,ETANOL HIDRATADO,R$/l,2.491
299,2018,12,BIRIGUI,GASOLINA COMUM,R$/l,4.279
300,2018,12,BIRIGUI,GLP,R$/13Kg,65.313
301,2018,12,BIRIGUI,ÓLEO DIESEL,R$/l,3.526
302,2018,12,BIRIGUI,ÓLEO DIESEL S10,R$/l,3.587
303,2018,12,BLUMENAU,ETANOL HIDRATADO,R$/l,3.41
304,2018,12,BLUMENAU,GASOLINA COMUM,R$/l,4.113
305,2018,12,BLUMENAU,GLP,R$/13Kg,76.0
306,2018,12,BLUMENAU,GNV,R$/m3,2.898
307,2018,12,BLUMENAU,ÓLEO DIESEL,R$/l,3.435
308,2018,12,BLUMENAU,ÓLEO DIESEL S10,R$/l,3.463
309,2018,12,BOA VISTA,ETANOL HIDRATADO,R$/l,3.913
310,2018,12,BOA VISTA,GASOLINA COMUM,R$/l,4.058
311,2018,12,BOA VISTA,GLP,R$/13Kg,84.375
312,2018,12,BOA VISTA,ÓLEO DIESEL,R$/l,3.585
313,2018,12,BOA VISTA,ÓLEO DIESEL S10,R$/l,3.624
314,2018,12,BOM DESPACHO,ETANOL HIDRATADO,R$/l,2.961
315,2018,12,BOM DESPACHO,GASOLINA COMUM,R$/l,4.551
316,2018,12,BOM DESPACHO,GLP,R$/13Kg,79.9
317,2018,12,BOM DESPACHO,ÓLEO DIESEL,R$/l,3.361
318,2018,12,BOM DESPACHO,ÓLEO DIESEL S10,R$/l,3.432
319,2018,12,BOTUCATU,ETANOL HIDRATADO,R$/l,2.851
320,2018,12,BOTUCATU,GASOLINA COMUM,R$/l,4.249
321,2018,12,BOTUCATU,GLP,R$/13Kg,64.688
322,2018,12,BOTUCATU,ÓLEO DIESEL,R$/l,3.341
323,2018,12,BOTUCATU,ÓLEO DIESEL S10,R$/l,3.394
324,2018,12,BRAGANCA,ETANOL HIDRATADO,R$/l,3.585
325,2018,12,BRAGANCA,GASOLINA COMUM,R$/l,4.425
326,2018,12,BRAGANCA,GLP,R$/13Kg,79.0
327,2018,12,BRAGANCA,ÓLEO DIESEL,R$/l,3.489
328,2018,12,BRAGANCA,ÓLEO DIESEL S10,R$/l,3.507
329,2018,12,BRAGANCA PAULISTA,ETANOL HIDRATADO,R$/l,2.718
330,2018,12,BRAGANCA PAULISTA,GASOLINA COMUM,R$/l,3.981
331,2018,12,BRAGANCA PAULISTA,GLP,R$/13Kg,63.699
332,2018,12,BRAGANCA PAULISTA,ÓLEO DIESEL,R$/l,3.338
333,2018,12,BRAGANCA PAULISTA,ÓLEO DIESEL S10,R$/l,3.388
334,2018,12,BRASILIA,ETANOL HIDRATADO,R$/l,3.32
335,2018,12,BRASILIA,GASOLINA COMUM,R$/l,4.367
336,2018,12,BRASILIA,GLP,R$/13Kg,73.095
337,2018,12,BRASILIA,ÓLEO DIESEL,R$/l,3.698
338,2018,12,BRASILIA,ÓLEO DIESEL S10,R$/l,3.832
339,2018,12,BRUMADO,ETANOL HIDRATADO,R$/l,3.613
340,2018,12,BRUMADO,GASOLINA COMUM,R$/l,4.84
341,2018,12,BRUMADO,GLP,R$/13Kg,59.75
342,2018,12,BRUMADO,ÓLEO DIESEL,R$/l,3.586
343,2018,12,BRUMADO,ÓLEO DIESEL S10,R$/l,3.611
344,2018,12,BRUSQUE,ETANOL HIDRATADO,R$/l,3.485
345,2018,12,BRUSQUE,GASOLINA COMUM,R$/l,4.069
346,2018,12,BRUSQUE,GLP,R$/13Kg,67.833
347,2018,12,BRUSQUE,GNV,R$/m3,2.79
348,2018,12,BRUSQUE,ÓLEO DIESEL,R$/l,3.355
349,2018,12,BRUSQUE,ÓLEO DIESEL S10,R$/l,3.408
350,2018,12,CABEDELO,ETANOL HIDRATADO,R$/l,2.988
